"",ps,smoothed.percent.open,celltype,gene_peak
"1",0,35.3397671405498,alpha,JUN_1:59248945-59250443
"2",0.0204081632653061,32.039382740293,alpha,JUN_1:59248945-59250443
"3",0.0408163265306122,29.2333134846204,alpha,JUN_1:59248945-59250443
"4",0.0612244897959184,26.853372733606,alpha,JUN_1:59248945-59250443
"5",0.0816326530612245,24.842959102326,alpha,JUN_1:59248945-59250443
"6",0.102040816326531,23.1553469351831,alpha,JUN_1:59248945-59250443
"7",0.122448979591837,21.7532126253583,alpha,JUN_1:59248945-59250443
"8",0.142857142857143,20.601014947274,alpha,JUN_1:59248945-59250443
"9",0.163265306122449,19.6552822567767,alpha,JUN_1:59248945-59250443
"10",0.183673469387755,18.8797796049685,alpha,JUN_1:59248945-59250443
"11",0.204081632653061,18.2447982044708,alpha,JUN_1:59248945-59250443
"12",0.224489795918367,17.7263136201334,alpha,JUN_1:59248945-59250443
"13",0.244897959183673,17.3715091716886,alpha,JUN_1:59248945-59250443
"14",0.26530612244898,17.1866056091171,alpha,JUN_1:59248945-59250443
"15",0.285714285714286,17.1308246871308,alpha,JUN_1:59248945-59250443
"16",0.306122448979592,17.1671743573117,alpha,JUN_1:59248945-59250443
"17",0.326530612244898,17.2602175464819,alpha,JUN_1:59248945-59250443
"18",0.346938775510204,17.4536993469012,alpha,JUN_1:59248945-59250443
"19",0.36734693877551,17.9387527834685,alpha,JUN_1:59248945-59250443
"20",0.387755102040816,18.6365091087926,alpha,JUN_1:59248945-59250443
"21",0.408163265306122,19.4397380162802,alpha,JUN_1:59248945-59250443
"22",0.428571428571429,20.2245093386144,alpha,JUN_1:59248945-59250443
"23",0.448979591836735,20.8476356819345,alpha,JUN_1:59248945-59250443
"24",0.469387755102041,21.2355471698557,alpha,JUN_1:59248945-59250443
"25",0.489795918367347,21.5430357981477,alpha,JUN_1:59248945-59250443
"26",0.510204081632653,21.8132898676776,alpha,JUN_1:59248945-59250443
"27",0.530612244897959,22.082307916064,alpha,JUN_1:59248945-59250443
"28",0.551020408163265,22.3878979566977,alpha,JUN_1:59248945-59250443
"29",0.571428571428571,22.7699711295864,alpha,JUN_1:59248945-59250443
"30",0.591836734693878,23.2671387917156,alpha,JUN_1:59248945-59250443
"31",0.612244897959184,23.8395389852088,alpha,JUN_1:59248945-59250443
"32",0.63265306122449,24.4607045006387,alpha,JUN_1:59248945-59250443
"33",0.653061224489796,25.1245455272393,alpha,JUN_1:59248945-59250443
"34",0.673469387755102,25.8242771817608,alpha,JUN_1:59248945-59250443
"35",0.693877551020408,26.5522952019962,alpha,JUN_1:59248945-59250443
"36",0.714285714285714,27.3000708445275,alpha,JUN_1:59248945-59250443
"37",0.73469387755102,28.0580697338044,alpha,JUN_1:59248945-59250443
"38",0.755102040816326,28.8329046442556,alpha,JUN_1:59248945-59250443
"39",0.775510204081633,29.6477865520275,alpha,JUN_1:59248945-59250443
"40",0.795918367346939,30.502806488241,alpha,JUN_1:59248945-59250443
"41",0.816326530612245,31.3975601955383,alpha,JUN_1:59248945-59250443
"42",0.836734693877551,32.3314852577166,alpha,JUN_1:59248945-59250443
"43",0.857142857142857,33.3038370052449,alpha,JUN_1:59248945-59250443
"44",0.877551020408163,34.313695338812,alpha,JUN_1:59248945-59250443
"45",0.897959183673469,35.3621889915971,alpha,JUN_1:59248945-59250443
"46",0.918367346938775,36.4518475086981,alpha,JUN_1:59248945-59250443
"47",0.938775510204082,37.5853874042482,alpha,JUN_1:59248945-59250443
"48",0.959183673469388,38.7657240528704,alpha,JUN_1:59248945-59250443
"49",0.979591836734694,39.9959876702679,alpha,JUN_1:59248945-59250443
"50",1,41.2795408316878,alpha,JUN_1:59248945-59250443
"51",0,30.482654220695,beta,JUN_1:59248945-59250443
"52",0.0204081632653061,29.5426666858234,beta,JUN_1:59248945-59250443
"53",0.0408163265306122,28.6745521843275,beta,JUN_1:59248945-59250443
"54",0.0612244897959184,27.8706849720581,beta,JUN_1:59248945-59250443
"55",0.0816326530612245,27.1241742554573,beta,JUN_1:59248945-59250443
"56",0.102040816326531,26.4287701868021,beta,JUN_1:59248945-59250443
"57",0.122448979591837,25.7797198696031,beta,JUN_1:59248945-59250443
"58",0.142857142857143,25.1788816362552,beta,JUN_1:59248945-59250443
"59",0.163265306122449,24.6278590427241,beta,JUN_1:59248945-59250443
"60",0.183673469387755,24.1278004142418,beta,JUN_1:59248945-59250443
"61",0.204081632653061,23.679835691809,beta,JUN_1:59248945-59250443
"62",0.224489795918367,23.2842772251638,beta,JUN_1:59248945-59250443
"63",0.244897959183673,22.8692469494586,beta,JUN_1:59248945-59250443
"64",0.26530612244898,22.4209152394138,beta,JUN_1:59248945-59250443
"65",0.285714285714286,21.9833500063513,beta,JUN_1:59248945-59250443
"66",0.306122448979592,21.5974710037224,beta,JUN_1:59248945-59250443
"67",0.326530612244898,21.3016038941067,beta,JUN_1:59248945-59250443
"68",0.346938775510204,21.1327218375554,beta,JUN_1:59248945-59250443
"69",0.36734693877551,21.1274536896163,beta,JUN_1:59248945-59250443
"70",0.387755102040816,21.2814941498744,beta,JUN_1:59248945-59250443
"71",0.408163265306122,21.5497962545514,beta,JUN_1:59248945-59250443
"72",0.428571428571429,21.8859547153228,beta,JUN_1:59248945-59250443
"73",0.448979591836735,22.2416097456862,beta,JUN_1:59248945-59250443
"74",0.469387755102041,22.5726675952338,beta,JUN_1:59248945-59250443
"75",0.489795918367347,23.0053737614292,beta,JUN_1:59248945-59250443
"76",0.510204081632653,23.5629346284608,beta,JUN_1:59248945-59250443
