UMAP1,UMAP2,zval,cluster
-7.6707096,-1.3824468,0.84725497141906,alpha_1
8.712,-1.4385668,0.00208121192163906,beta_1
7.334743,-4.252082,-2,beta_1
7.9375176,-1.8407152,-0.151523399941864,beta_1
-2.4882863,3.5874307,2,alpha_2
-9.371331,-1.6929306,-2,alpha_1
8.563792,-1.1817094,1.15543873296572,beta_1
9.675642,-1.3041422,-0.938433087341495,beta_1
8.52561,-4.056625,0.232262865405546,beta_1
-4.895281,1.3976265,2,alpha_2
7.671673,-3.211888,2,beta_1
8.712908,-2.7303624,0.185880324101817,beta_1
-10.191144,-0.23801808,-2,alpha_1
9.340434,-1.0380365,-0.465682694539337,beta_1
8.729992,-3.8902102,0.953049071678835,beta_1
-3.6139793,3.430024,2,alpha_2
-7.646781,-0.1816413,1.06045644543559,alpha_1
-7.116072,-1.6308734,-2,alpha_1
-0.6769928,-0.24898998,-0.431659027332789,delta_1
-4.1423817,3.301466,1.40069991176183,alpha_2
8.898049,-0.8946693,-2,beta_1
-9.103379,-1.5450203,-1.87862480668408,alpha_1
9.267252,-2.8338041,-2,beta_1
5.7687078,0.9892482,2,beta_2
-10.300314,1.6628476,-2,alpha_1
0.02424571,1.0492387,2,delta_2
9.23605,-2.8542454,2,beta_1
-9.707262,1.2327415,1.38329745379469,alpha_1
-8.55713,-1.9539051,-2,alpha_1
7.318273,-3.415284,-0.597889129094358,beta_1
8.960629,-3.7633548,-2,beta_1
7.3019686,-2.0603542,-1.43014805808183,beta_1
-7.546826,-0.71356684,-1.87137993869452,alpha_1
6.5926123,-2.7327929,-1.7989849044548,beta_1
7.020975,-3.9396167,0.789483201672837,beta_1
9.451615,-2.8128526,2,beta_1
-9.753069,1.2841417,1.3207820793277,alpha_1
-7.859094,-0.64599735,-0.876877712744056,alpha_1
-0.30444416,-0.28166062,0.435599712296287,delta_1
5.6895814,0.028801363,0.934545114952975,beta_2
6.274025,-1.0776864,-2,beta_2
-8.044734,-0.033220626,0.0932044212952022,alpha_1
-9.6516075,-1.7979134,-2,alpha_1
6.0413656,-2.838148,-1.48825205077535,beta_1
-0.6423212,2.4888513,-2,delta_2
8.544123,-1.448854,-1.55422308504627,beta_1
2.9229991,2.1897209,-0.262708511966369,beta_2
6.3776126,-4.112003,0.675602476885248,beta_1
-4.317294,3.1271574,2,alpha_2
0.36023012,-0.8542309,-0.117156348641655,delta_1
6.4151692,-1.6846968,2,beta_2
6.4463515,1.9431329,2,beta_2
4.2951517,2.363829,2,beta_2
-7.8443027,-0.43381545,0.937163948623779,alpha_1
-9.630224,0.84154516,-1.30614644333512,alpha_1
9.101496,-2.7835484,-1.03692857791123,beta_1
7.511976,-3.9552097,1.73789435320218,beta_1
-8.264368,-2.0765898,-0.338218306009574,alpha_1
7.7566595,-4.1441374,-1.22959938681861,beta_1
9.280139,-0.6451091,-0.53522350019752,beta_1
-3.3200557,4.6982794,-2,alpha_2
-3.1494293,4.5993857,-0.871717351747307,alpha_2
7.3907743,-3.5003543,-2,beta_1
-10.357726,-1.3690745,-2,alpha_1
-3.4372253,3.6480033,2,alpha_2
9.180004,-0.47596562,-1.22994037737863,beta_1
-3.396379,4.6619673,-2,alpha_2
7.5089335,-3.5997841,-2,beta_1
-5.0944047,2.0352316,2,alpha_2
6.308975,-3.7460783,0.773246324643353,beta_1
-10.007995,-1.51942,-1.84928802478832,alpha_1
-9.3766775,-2.369424,-2,alpha_1
1.0194141,3.5174973,-2,beta_2
-7.1392746,0.8926823,0.600626209670313,alpha_1
-8.52401,-2.4021206,-2,alpha_1
9.29785,-2.9890387,1.69590118494746,beta_1
-2.4818091,3.0880654,2,alpha_2
-0.05742649,0.7815518,2,delta_2
5.9265614,-1.1403046,0.897063959692545,beta_2
-10.614918,-0.48720437,1.88437679836499,alpha_1
-8.205127,-2.0713065,-2,alpha_1
