prom_peak,gene,celltype,mean_frac_open,odds
1:110453031-110454045,CSF1,alpha,0.0361534091005011,0.718427374471374
1:110526870-110528031,AHCYL1,alpha,0.103302716464737,0.761444857086427
1:110576897-110578013,STRIP1,alpha,0.0675398417266646,0.788995517576384
1:110611395-110613075,ALX3,alpha,0.00531338694395982,2.65033485507282
1:110692920-110693792,SLC6A17,alpha,0.052375497476439,0.541993009725844
1:11072196-11073506,TARDBP,alpha,0.0880210430868946,0.665699755284674
1:110752551-110754094,KCNC4,alpha,0.153529430853378,0.909531739934837
1:110880381-110882449,RBM15,alpha,0.275991121627069,0.713182690898892
1:1108873-1109459,TTLL10,alpha,0.0165285884471232,2.1109496771728
1:110949827-110950832,LAMTOR5,alpha,0.0417767662816908,0.70598095418097
1:111148594-111150215,KCNA2,alpha,0.0236072582368143,1.43649643797764
1:11119661-11120595,SRM,alpha,0.107010166836205,0.68946330407407
1:111216849-111218101,KCNA3,alpha,0.0494070986842068,0.87343998133737
1:111505832-111507047,LRIF1,alpha,0.129610420402176,0.647876181763138
1:11159306-11160486,EXOSC10,alpha,0.0382076536106515,0.589888899387875
1:111681948-111683472,CEPT1,alpha,0.0851629393019188,0.519049035458179
1:111681948-111683472,DRAM2,alpha,0.0851629393019188,0.519049035458179
1:111746223-111747485,DENND2D,alpha,0.118594894128986,0.811231159857139
1:111888674-111889585,PIFO,alpha,0.0605679967781853,0.764812922269676
1:111991117-111992426,WDR77,alpha,0.109582779122806,0.56041324599291
1:111991117-111992426,ATP5F1,alpha,0.109582779122806,0.56041324599291
1:112106310-112106622,ADORA3,alpha,0.00504018170914869,0.724296260592547
1:112162104-112163182,RAP1A,alpha,0.101220429261415,0.619780865750977
1:112280991-112283122,FAM212B,alpha,0.198194031802102,0.704327917298647
1:112297645-112298980,DDX20,alpha,0.116752517324101,0.571645510967312
1:112531619-112534341,KCND3,alpha,0.154217649189473,0.669926380761643
1:112938519-112939155,CTTNBP2NL,alpha,0.0708725141653116,0.633748179785625
1:113050553-113052204,WNT2B,alpha,0.0489517566261883,0.691759959129806
1:113161229-113163035,ST7L,alpha,0.107004914693002,0.703903166714528
1:113161229-113163035,CAPZA1,alpha,0.107004914693002,0.703903166714528
1:113216918-113218391,MOV10,alpha,0.0695835819504096,0.74942958058304
1:11322471-11323041,MTOR,alpha,0.103265951462319,0.882353284298738
1:113249586-113250262,RHOC,alpha,0.0646134600800539,0.889170196200698
1:113257515-113258534,PPM1J,alpha,0.0881751372169307,0.504443327038517
1:11332834-11333818,UBIAD1,alpha,0.109712394513986,0.720731506535076
1:113498237-113499374,SLC16A1,alpha,0.0560076358659106,0.383156935067548
1:113615232-113616418,LRIG2,alpha,0.124924008053036,0.728266885079367
1:113932539-113934617,MAGI3,alpha,0.178024582656261,0.933514935194093
1:1141843-1142116,TNFRSF18,alpha,0.00367593751225109,1.51899856431978
1:114301443-114303013,PHTF1,alpha,0.0999700440260902,0.890943428043532
1:114354378-114355363,RSBN1,alpha,0.172089473260683,0.778529892989475
1:114447122-114448086,AP4B1,alpha,0.171164814692195,0.893344109562556
1:114447122-114448086,DCLRE1B,alpha,0.171164814692195,0.893344109562556
1:114471619-114473729,HIPK1,alpha,0.1137613279819,0.540527142446618
1:114521414-114522285,OLFML3,alpha,0.0136494760893367,1.15891768742007
1:114696974-114697804,SYT6,alpha,0.010653034603933,0.989097843864207
1:115052844-115054657,TRIM33,alpha,0.121804985296813,0.775651019985786
1:115123897-115124818,BCAS2,alpha,0.0636397502455846,0.917238645224376
1:115212314-115213368,DENND2C,alpha,0.118402253019373,0.807980445318668
1:115258740-115259833,NRAS,alpha,0.0388503846350802,0.850473237555662
1:115299891-115300924,CSDE1,alpha,0.112607263301381,0.755070179659446
1:115322788-115323580,SIKE1,alpha,0.0636064554092105,0.614119675090236
1:11538650-11539655,PTCHD2,alpha,0.0494701244026391,0.523068747981462
1:115631180-115632877,TSPAN2,alpha,0.091248672661488,0.904149755328242
1:115879960-115881054,NGF,alpha,0.0423704460401372,0.629842837654975
1:116184271-116185721,VANGL1,alpha,0.0135216426753142,3.00790809597084
1:116518567-116520014,SLC22A15,alpha,0.0966093288942719,0.785520690877809
1:1166817-1167977,SDF4,alpha,0.0696098426664231,0.642772687408339
1:1166817-1167977,B3GALT6,alpha,0.0696098426664231,0.642772687408339
1:116915294-116916908,ATP1A1,alpha,0.140750309923343,0.661367182224621
1:116926887-116927348,AL136376.1,alpha,0.0104131242054961,9.85987743964989
1:117112912-117114102,CD58,alpha,0.0738479470779045,0.747660961604785
1:11714281-11715144,FBXO44,alpha,0.0524035401696105,0.91795934674887
1:11714281-11715144,FBXO2,alpha,0.0524035401696105,0.91795934674887
1:117209450-117210760,IGSF3,alpha,0.0425158178609258,0.984044119658949
1:11724029-11725183,FBXO6,alpha,0.0452232976819104,1.02024222002697
1:11740700-11741969,MAD2L2,alpha,0.0665538456286319,0.479096966187105
1:117452319-117453490,PTGFRN,alpha,0.0469623198116281,1.05501300087644
1:117602010-117603597,TTF2,alpha,0.0884028551400756,1.06972461744813
1:117664024-117665207,TRIM45,alpha,0.129659471668158,0.760001882628534
1:117909184-117910330,MAN1A2,alpha,0.143116306647882,0.787267142388844
1:11795918-11797708,AGTRAP,alpha,0.0453878960983517,0.565700191105072
1:118147868-118149898,FAM46C,alpha,0.179415087569171,0.856001386671477
1:118471448-118472748,GDAP2,alpha,0.110349873395213,0.841745654672538
1:118471448-118472748,WDR3,alpha,0.110349873395213,0.841745654672538
1:11865492-11866587,MTHFR,alpha,0.157732458451327,0.622249764790502
1:11865492-11866587,CLCN6,alpha,0.157732458451327,0.622249764790502
1:118727348-118728263,SPAG17,alpha,0.0162763917851228,0.855187269946636
1:11908048-11908450,NPPA,alpha,0.00367068536904841,2.77908380393625
1:11918885-11919675,NPPB,alpha,0.00909614929742266,1.33890317265682
1:119456925-119457365,TBX15,alpha,0.0111503938075731,0.632793539897096
1:119682537-119683542,WARS2,alpha,0.132806537117553,0.894216590771951
1:11985764-11986770,KIAA2013,alpha,0.0250835794181263,0.981135651704578
1:11994290-11995187,PLOD1,alpha,0.0413862319192626,0.725250984869904
1:120189398-120191306,ZNF697,alpha,0.116256940097619,0.849312212680023
1:120254263-120255552,PHGDH,alpha,0.0164532764651276,1.25767404138191
1:120311316-120311663,HMGCS2,alpha,0.00581599829080254,0.705205600934935
1:120351294-120352181,REG4,alpha,0.0123710481608401,2.19631709857123
1:12039708-12040800,MFN2,alpha,0.108785953968341,0.609816162060648
1:12079119-12079717,MIIP,alpha,0.0914938352031273,0.718183398069916
1:1208894-1209818,UBE2J2,alpha,0.0392199104246977,1.01451464023703
1:1217097-1217842,SCNN1D,alpha,0.00932030326625159,0.364327660354781
1:12226878-12227358,TNFRSF1B,alpha,0.00329065529302551,1.25388812008579
1:12289864-12290407,VPS13D,alpha,0.0309906461205326,0.988870333708489
1:1243160-1244152,ACAP3,alpha,0.108320107623918,0.565376318972128
1:1243160-1244152,PUSL1,alpha,0.108320107623918,0.565376318972128
1:1259720-1260746,CPSF3L,alpha,0.0517870698611953,0.571243790098381
1:1259720-1260746,GLTPD1,alpha,0.0517870698611953,0.571243790098381
1:1266335-1266733,TAS1R3,alpha,0.00222587704695248,1.28664448332245
1:12675944-12677416,DHRS3,alpha,0.0421953433372906,1.29468389328382
1:12805890-12806514,C1orf158,alpha,0.0152711690914374,2.16062120974713
1:1284327-1285404,DVL1,alpha,0.0343443271319903,0.48926973935923
1:1310295-1311106,AURKAIP1,alpha,0.0842348105673872,1.09266600661642
1:1334330-1335099,CCNL2,alpha,0.0956408712030054,0.783889038558017
1:1334330-1335099,RP4-758J18.2,alpha,0.0956408712030054,0.783889038558017
1:1342116-1343257,MRPL20,alpha,0.0327874418254799,0.519696333944763
1:1354928-1355902,ANKRD65,alpha,0.0320711807962137,0.824788652179221
1:1370745-1371394,VWA1,alpha,0.0549866567426171,0.57337593105073
1:1406763-1407527,ATAD3B,alpha,0.0439273313466476,0.597846152387005
1:14075271-14076448,PRDM2,alpha,0.0977581414315881,0.548716094800601
1:1446778-1447829,ATAD3A,alpha,0.0503317572526939,0.574645701104545
1:145437959-145438574,TXNIP,alpha,0.0639654769124226,0.737422847103392
1:145470116-145470788,POLR3GL,alpha,0.0521951426303896,1.02407917670823
1:145470116-145470788,ANKRD34A,alpha,0.0521951426303896,1.02407917670823
1:145476768-145477700,LIX1L,alpha,0.110460168402469,0.549926755437513
1:145507131-145508038,RBM8A,alpha,0.075024802308392,0.69312192818053
1:145515200-145516857,PEX11B,alpha,0.0597116160713331,0.688102868968959
1:145524728-145525190,ITGA10,alpha,0.00445175409390495,1.28736585556247
1:145548576-145549434,ANKRD35,alpha,0.0236387710960304,0.864535488890031
1:145574987-145576348,PIAS3,alpha,0.102779096545084,0.891276070908716
1:145588595-145589821,NUDT17,alpha,0.0209365434182486,0.715196750450282
1:145610567-145611531,POLR3C,alpha,0.0674382690286555,0.811138504464276
1:145610567-145611531,RNF115,alpha,0.0674382690286555,0.811138504464276
1:145726696-145728157,PDZK1,alpha,0.0311255136549158,2.08970762294414
1:145826625-145827309,GPR89A,alpha,0.0456611013331628,0.662411427391728
1:146374209-146374871,NBPF12,alpha,0.0126267149888852,0.292756706991145
1:146643592-146644867,PRKAB2,alpha,0.106004944142519,0.794967853003396
1:146696406-146697375,FMO5,alpha,0.015003215999829,1.204500586545
1:146713983-146715240,CHD1L,alpha,0.126619231059975,0.618271256484141
1:147012655-147014059,BCL9,alpha,0.0604191547913521,1.07285567125132
1:147141540-147143122,ACP6,alpha,0.0827462031225116,0.813592098273263
1:147400268-147400894,GPR89B,alpha,0.0460253749795776,0.810168112669427
1:1474988-1476391,TMEM240,alpha,0.0376034695657997,0.747256250367762
1:149400076-149400700,HIST2H3PS2,alpha,0.00561810503798707,0.922843723219502
1:149783508-149784243,HIST2H2BF,alpha,0.0265283877402223,1.09843376918254
1:149785124-149785393,HIST2H3D,alpha,0.00744819557930858,1.55468787120305
1:149814895-149815388,HIST2H2AA3,alpha,0.00455857893511671,0.559173099809451
1:149857837-149858774,HIST2H2BE,alpha,0.117563410719287,1.01394317861787
1:149857837-149858774,HIST2H2AC,alpha,0.117563410719287,1.01394317861787
1:149859066-149860234,BOLA1,alpha,0.0811262920975691,1.14917642989175
1:149859066-149860234,HIST2H2AB,alpha,0.0811262920975691,1.14917642989175
1:149889113-149889793,SV2A,alpha,0.0178770762144128,2.37228414676668
1:149899354-149900378,SF3B4,alpha,0.0476365636952729,1.08604187180854
1:149909153-149909636,MTMR11,alpha,0.0128035996688899,0.54290721239544
1:149981561-149983063,OTUD7B,alpha,0.0572720893419572,0.77089084794801
1:150038937-150040154,VPS45,alpha,0.0620776127958715,0.9917971610854
1:150121634-150122547,PLEKHO1,alpha,0.047114631964506,0.258410921306264
1:150207993-150208999,ANP32E,alpha,0.107150286513791,0.850265858834002
1:150240704-150241872,C1orf54,alpha,0.0484228845633321,0.988667628314926
1:150240704-150241872,APH1A,alpha,0.0484228845633321,0.988667628314926
1:150253754-150255362,C1orf51,alpha,0.118293646201003,0.593567633800243
1:150265850-150266778,MRPS21,alpha,0.0355387207692439,1.02871624252506
1:150293533-150294526,PRPF3,alpha,0.0382934698790525,0.663173433742909
1:150335990-150337491,RPRD2,alpha,0.0979315559455478,0.907021538453863
1:150459580-150460038,TARS2,alpha,0.0478992646436787,1.36233117863199
1:150521078-150522063,ADAMTSL4,alpha,0.0299416243040676,0.803596965834743
1:150521078-150522063,AL356356.1,alpha,0.0299416243040676,0.803596965834743
1:150533435-150534892,ADAMTSL4-AS1,alpha,0.0855394992118971,0.879521457043511
1:150551059-150552491,MCL1,alpha,0.0934149941560528,0.774624522271947
1:150601523-150602410,ENSA,alpha,0.178264493054698,0.830797340804438
1:150669490-150670073,GOLPH3L,alpha,0.0892907487061439,0.992880260794837
1:150738254-150738488,CTSS,alpha,0.00241851815656527,1.48513368204202
1:150848615-150849581,ARNT,alpha,0.122029139265642,0.697531020022247
1:150898079-150899248,SETDB1,alpha,0.0462180160891904,0.818031879816912
1:150946054-150947521,CERS2,alpha,0.0788933809302558,0.723918451426518
1:1509536-1510962,SSU72,alpha,0.0503370093958967,0.550242531029302
1:1509536-1510962,AL645728.1,alpha,0.0503370093958967,0.550242531029302
1:150954407-150955114,ANXA9,alpha,0.00571967773599615,0.676872208036632
1:150980564-150981224,FAM63A,alpha,0.062445356608331,0.604671315801948
1:150980564-150981224,PRUNE,alpha,0.062445356608331,0.604671315801948
1:151019868-151021406,C1orf56,alpha,0.0548168061829731,0.973918463947448
1:151030255-151030499,MLLT11,alpha,0.00970558548547717,0.420675213129329
1:151042618-151044004,CDC42SE1,alpha,0.0611301636774156,0.866425789048889
1:151042618-151044004,GABPB2,alpha,0.0611301636774156,0.866425789048889
1:151118808-151119796,SEMA6C,alpha,0.0721527240709662,0.974184528749319
1:151128509-151128809,TNFAIP8L2,alpha,0.00949718794625631,0.771526675296336
1:151137584-151138896,LYSMD1,alpha,0.0453616353823382,0.714577235100248
1:151137584-151138896,SCNM1,alpha,0.0453616353823382,0.714577235100248
1:151148496-151148774,TMOD4,alpha,0.00144480832209594,Inf
1:151162060-151163050,VPS72,alpha,0.0400167355791623,0.820051525949127
1:151170712-151171596,PIP5K1A,alpha,0.052857100250471,0.556428966175597
1:151226786-151227643,PSMD4,alpha,0.0585662737000618,0.60799393490619
1:151253639-151255086,ZNF687,alpha,0.190476194942299,1.03365349040117
1:151253639-151255086,RP11-126K1.2,alpha,0.190476194942299,1.03365349040117
1:151299443-151300792,PI4KB,alpha,0.0811192579772084,0.73547408601955
1:151319290-151320215,RFX5,alpha,0.0706045610737032,0.553332860927556
1:151344593-151345439,SELENBP1,alpha,0.0171380246351777,1.07196486097146
1:151371540-151372699,PSMB4,alpha,0.0258699002861855,0.828313279210536
1:151430778-151432369,POGZ,alpha,0.0702840865500679,0.659333507905105
1:151483422-151484446,CGN,alpha,0.083152493914548,0.742294350358111
1:151511956-151513241,TUFT1,alpha,0.10770541929266,0.645181844983436
1:151584243-151585414,SNX27,alpha,0.0562878752210824,0.857365522680448
1:151682693-151683036,RIIAD1,alpha,0.0174112298699889,1.56637497049259
1:151682693-151683036,AL589765.1,alpha,0.0174112298699889,1.56637497049259
1:151688984-151689685,CELF3,alpha,0.0570812302095024,1.47450547029623
1:151735381-151736425,OAZ3,alpha,0.0492459704338102,0.672789925609219
1:151735381-151736425,MRPL9,alpha,0.0492459704338102,0.672789925609219
1:151762505-151763445,TDRKH,alpha,0.139562950406451,0.713794590075397
1:151804145-151804487,RORC,alpha,0.0129542236328812,1.97293804296755
1:151811947-151812918,C2CD4D,alpha,0.0496540432030046,1.22964220830671
1:151881636-151882496,THEM4,alpha,0.102148651784219,1.08651297583074
1:151964823-151965311,S100A10,alpha,0.032321595481056,0.401303822860667
1:152008777-152009672,S100A11,alpha,0.040021987722365,0.779322037729942
1:15255737-15256608,KAZN,alpha,0.0512547276322945,1.74750528499699
1:153005291-153005834,SPRR1B,alpha,0.00202798379413699,3.17179053792915
1:1534666-1535807,C1orf233,alpha,0.0130873091901064,0.67670681776992
1:153508206-153508965,S100A6,alpha,0.029470525816441,0.673711327180686
1:153517498-153518086,S100A4,alpha,0.00270747982098445,1.78315278386274
1:153538913-153539507,S100A2,alpha,0.048149679328521,0.859810436239895
1:153585059-153585817,S100A16,alpha,0.00620128051002813,0.818663588133369
1:153599371-153600364,S100A1,alpha,0.0117983769752044,1.70294913813714
1:153606252-153607087,CHTOP,alpha,0.0664750634805915,0.783866679746345
1:153606252-153607087,S100A13,alpha,0.0664750634805915,0.783866679746345
1:153630809-153631763,SNAPIN,alpha,0.0357471183084648,0.878603216536785
1:153643148-153644519,ILF2,alpha,0.117046731131722,0.56448590451154
1:153651012-153652262,NPR1,alpha,0.0259662208409919,0.83526722920702
1:153699970-153700677,INTS3,alpha,0.0956041062005865,0.917635286655739
1:153747569-153748828,SLC27A3,alpha,0.0657044990421403,0.762129449447596
1:153894987-153896259,GATAD2B,alpha,0.141158382692538,0.837391033106656
1:153918106-153919402,DENND4B,alpha,0.083616558281814,0.504703884514658
1:153930618-153931382,CRTC2,alpha,0.0954902472390138,0.649417157036783
1:153939636-153940726,SLC39A1,alpha,0.0948965674805673,0.685029687090155
1:153939636-153940726,CREB3L4,alpha,0.0948965674805673,0.685029687090155
1:153949581-153950725,JTB,alpha,0.0443441264250893,0.453676113418591
1:153958643-153959744,RAB13,alpha,0.0474439225856601,1.07714698122513
1:153962962-153963577,RPS27,alpha,0.0397067653419323,0.988769895809129
1:154127471-154128379,NUP210L,alpha,0.00735187502450219,1.52131808974585
1:154154788-154156043,TPM3,alpha,0.0942713748629047,0.829431089270087
1:154178373-154179070,C1orf189,alpha,0.00512074583434703,2.51685188862521
1:154192623-154194097,UBAP2L,alpha,0.128048282952463,0.673221614916072
1:154192623-154194097,C1orf43,alpha,0.128048282952463,0.673221614916072
1:154244603-154245557,HAX1,alpha,0.0345002032391843,0.764544810679855
1:154293274-154293738,AQP10,alpha,0.0185618243844629,1.95597354716409
1:154300837-154301416,ATP8B2,alpha,0.046431665771614,0.691256319564909
1:154377400-154379178,IL6R,alpha,0.149953284061978,0.670051155558707
1:154474130-154475503,SHE,alpha,0.0097861496106755,0.825841812948001
1:154474130-154475503,TDRD10,alpha,0.0097861496106755,0.825841812948001
1:154531028-154531673,UBE2Q1,alpha,0.106316696356907,1.06749623855733
1:154539931-154540892,CHRNB2,alpha,0.055452503087041,0.659837587188939
1:154579624-154581388,ADAR,alpha,0.0418730868364972,0.710022291559887
1:15478880-15481498,TMEM51,alpha,0.112029339972543,0.745267895796473
1:154842628-154843084,KCNN3,alpha,0.0469255548092094,1.43334029679856
1:154908895-154910225,PMVK,alpha,0.109444441422378,0.659858933412841
1:154927565-154928809,PBXIP1,alpha,0.0407172401788205,0.661632266998207
1:154933811-154935034,PYGO2,alpha,0.0578815255300116,0.634600155097291
1:154946116-154947655,SHC1,alpha,0.110766668473654,0.753618559211739
1:154946116-154947655,CKS1B,alpha,0.110766668473654,0.753618559211739
1:154955456-154955983,FLAD1,alpha,0.0654102852345185,0.778606920520785
1:154965760-154966097,LENEP,alpha,0.00320483902462449,0.31557391092472
1:154973141-154975204,ZBTB7B,alpha,0.164706085376964,0.82172974499966
1:155022956-155024418,ADAM15,alpha,0.0732209724830839,0.559413368334998
1:155035996-155036797,EFNA4,alpha,0.0116477530112132,0.403376347125057
1:1550457-1551751,MIB2,alpha,0.0762016575388795,0.643430617920203
1:155051072-155051625,EFNA3,alpha,0.012905172366899,0.468285568151634
1:155098546-155100547,EFNA1,alpha,0.0463248409304022,0.752165695795968
1:155107493-155108567,SLC50A1,alpha,0.0955865677938202,0.651176257275231
1:155112479-155113190,DPM3,alpha,0.0241308781564678,0.765279227796733
1:155145228-155146051,KRTCAP2,alpha,0.0405403554988158,0.55816830439659
1:155145228-155146051,TRIM46,alpha,0.0405403554988158,0.55816830439659
1:155178032-155179176,THBS3,alpha,0.0393424916955175,0.788420426130705
1:155178032-155179176,MTX1,alpha,0.0393424916955175,0.788420426130705
1:155213621-155215010,GBA,alpha,0.069508269968414,0.660603081887774
1:155224636-155225754,FAM189B,alpha,0.0411235309708568,0.550962112750275
1:155231339-155232461,SCAMP3,alpha,0.059991855426505,1.39714875531309
1:155242882-155243543,CLK2,alpha,0.0703804071048743,0.661703200048549
1:155246922-155247581,HCN3,alpha,0.0694557485363872,0.895256340276545
1:155277893-155278824,FDPS,alpha,0.0978124448407728,0.661327782372845
1:155292846-155294506,RUSC1,alpha,0.140205681430879,0.79700926698281
1:155532131-155533275,ASH1L,alpha,0.10534120454528,0.750653279964379
1:155579471-155580141,MSTO1,alpha,0.0744416268363509,0.699347294009311
1:155657827-155659036,DAP3,alpha,0.0894763556953961,0.661492577192565
1:155657827-155659036,YY1AP1,alpha,0.0894763556953961,0.661492577192565
1:15573499-15574439,FHAD1,alpha,0.021514466747087,0.763240453486046
1:155829033-155829527,GON4L,alpha,0.0476890851272998,0.706832657118516
1:155829033-155829527,SYT11,alpha,0.0476890851272998,0.706832657118516
1:155880397-155881426,RIT1,alpha,0.0371061103621597,0.85396565805445
1:155903884-155904553,KIAA0907,alpha,0.0575137817175521,1.07706238024093
1:155947573-155948729,ARHGEF2,alpha,0.0148210791766216,0.901259583119286
1:155990151-155990968,SSR2,alpha,0.0279346490827413,0.541731711780652
1:156023216-156023885,UBQLN4,alpha,0.0589252952032738,0.741011026062905
1:156024323-156025130,LAMTOR2,alpha,0.0478554655208992,0.88510442027056
1:156030600-156031282,RAB25,alpha,0.0212955649214608,1.19144849739923
1:156052012-156053270,MEX3A,alpha,0.0259872294138027,0.609823333207641
1:156083879-156084852,LMNA,alpha,0.135858970201028,0.558693094531401
1:156116633-156116874,SEMA4A,alpha,0.0032959074362282,0.69166424460425
1:156163288-156164055,SLC25A44,alpha,0.0615206980398439,0.849800225929497
1:156182546-156183467,PMF1-BGLAP,alpha,0.0777603248225479,1.02362654797794
1:156182546-156183467,PMF1,alpha,0.0777603248225479,1.02362654797794
1:156251920-156252991,SMG5,alpha,0.0639024511939904,1.08933398573266
1:156251920-156252991,TMEM79,alpha,0.0639024511939904,1.08933398573266
1:156265319-156265604,C1orf85,alpha,0.0116477530112132,0.403376347125057
1:156307771-156308751,CCT3,alpha,0.0989105179232198,0.8689880691869
1:156307771-156308751,TSACC,alpha,0.0989105179232198,0.8689880691869
1:156338808-156339335,RHBG,alpha,0.00803137105134965,1.35989906986497
1:156470462-156471437,MEF2D,alpha,0.150671327068402,0.79228058814461
1:156542216-156542595,IQGAP3,alpha,0.00901558517222434,0.681170179606424
1:156561135-156562053,APOA1BP,alpha,0.041000949700037,0.708748753116399
1:156570929-156571811,GPATCH4,alpha,0.0230766041968001,0.627847391490781
1:156611495-156612048,BCAN,alpha,0.00329065529302551,1.25388812008579
1:156674739-156676768,CRABP2,alpha,0.0346385409396122,0.470368897331897
1:156698110-156698985,ISG20L2,alpha,0.0925848741652139,0.641620748075748
1:156698110-156698985,RRNAD1,alpha,0.0925848741652139,0.641620748075748
1:156710558-156711360,MRPL24,alpha,0.0705958387644558,1.01500882569095
1:156720854-156722217,HDGF,alpha,0.100290518549726,0.788030497491749
1:1567358-1567811,MMP23B,alpha,0.0019316632393306,2.97299317708463
1:156736833-156737788,PRCC,alpha,0.132170840213484,1.06554378210681
1:156829346-156831079,NTRK1,alpha,0.0123920567336509,1.1226817866399
1:156890135-156890574,LRRC71,alpha,0.00512074583434703,2.51685188862521
1:157015110-157016284,ARHGEF11,alpha,0.108954116339099,0.978097138478545
1:157107860-157108830,ETV3,alpha,0.0694399921067791,0.979565136555227
1:15735859-15736869,EFHD2,alpha,0.0515471594627583,0.81697504416623
1:157962988-157963560,KIRREL,alpha,0.00590706670240625,1.0223178082545
1:15850623-15851780,CASP9,alpha,0.225326603587176,0.701787165394478
1:15852934-15853700,DNAJC16,alpha,0.11042340340005,0.63554069728957
