"",motif,ps,zval,celltype,ps.scaled
"1",FOS::JUND,0,-6.89800750000574,alpha,0
"2",FOS::JUND,0.210672223240505,-5.82349020635933,alpha,0.0101010101010101
"3",FOS::JUND,0.42134444648101,-4.80859219608777,alpha,0.0202020202020202
"4",FOS::JUND,0.632016669721515,-3.91293275256591,alpha,0.0303030303030303
"5",FOS::JUND,0.84268889296202,-3.19613115916862,alpha,0.0404040404040404
"6",FOS::JUND,1.05336111620253,-2.71780669927074,alpha,0.0505050505050505
"7",FOS::JUND,1.26403333944303,-2.53757865624714,alpha,0.0606060606060606
"8",FOS::JUND,1.47470556268354,-2.68846817925347,alpha,0.0707070707070707
"9",FOS::JUND,1.68537778592404,-3.08436994873525,alpha,0.0808080808080808
"10",FOS::JUND,1.89605000916455,-3.60584151712996,alpha,0.0909090909090909
"11",FOS::JUND,2.10672223240505,-4.1334388437991,alpha,0.101010101010101
"12",FOS::JUND,2.31739445564556,-4.54771788810419,alpha,0.111111111111111
"13",FOS::JUND,2.52806667888606,-4.72923460940675,alpha,0.121212121212121
"14",FOS::JUND,2.73873890212657,-4.58064292099655,alpha,0.131313131313131
"15",FOS::JUND,2.94941112536707,-4.20541008989425,alpha,0.141414141414141
"16",FOS::JUND,3.16008334860758,-3.81255881298193,alpha,0.151515151515152
"17",FOS::JUND,3.37075557184808,-3.52397202058627,alpha,0.161616161616162
"18",FOS::JUND,3.58142779508859,-3.32763176281802,alpha,0.171717171717172
"19",FOS::JUND,3.79210001832909,-3.20031375025418,alpha,0.181818181818182
"20",FOS::JUND,4.0027722415696,-3.11879369347172,alpha,0.191919191919192
"21",FOS::JUND,4.2134444648101,-3.05984730304763,alpha,0.202020202020202
"22",FOS::JUND,4.42411668805061,-3.00025028955889,alpha,0.212121212121212
"23",FOS::JUND,4.63478891129111,-2.91816814745256,alpha,0.222222222222222
"24",FOS::JUND,4.84546113453162,-2.80923567496671,alpha,0.232323232323232
"25",FOS::JUND,5.05613335777212,-2.68101473393405,alpha,0.242424242424242
"26",FOS::JUND,5.26680558101263,-2.54129766367758,alpha,0.252525252525253
"27",FOS::JUND,5.47747780425313,-2.39787680352032,alpha,0.262626262626263
"28",FOS::JUND,5.68815002749364,-2.25854449278531,alpha,0.272727272727273
"29",FOS::JUND,5.89882225073414,-2.13107121809536,alpha,0.282828282828283
"30",FOS::JUND,6.10949447397465,-2.02186127856106,alpha,0.292929292929293
"31",FOS::JUND,6.32016669721515,-1.93516912196414,alpha,0.303030303030303
"32",FOS::JUND,6.53083892045566,-1.87506044002448,alpha,0.313131313131313
"33",FOS::JUND,6.74151114369616,-1.845600924462,alpha,0.323232323232323
"34",FOS::JUND,6.95218336693667,-1.85085626699659,alpha,0.333333333333333
"35",FOS::JUND,7.16285559017717,-1.89422250013098,alpha,0.343434343434343
"36",FOS::JUND,7.37352781341768,-1.97262502366282,alpha,0.353535353535354
"37",FOS::JUND,7.58420003665818,-2.07936426053715,alpha,0.363636363636364
"38",FOS::JUND,7.79487225989869,-2.20770071991026,alpha,0.373737373737374
"39",FOS::JUND,8.00554448313919,-2.35089491093847,alpha,0.383838383838384
"40",FOS::JUND,8.2162167063797,-2.50220734277808,alpha,0.393939393939394
"41",FOS::JUND,8.4268889296202,-2.65489852458539,alpha,0.404040404040404
"42",FOS::JUND,8.63756115286071,-2.80222896551672,alpha,0.414141414141414
"43",FOS::JUND,8.84823337610121,-2.93745917472837,alpha,0.424242424242424
"44",FOS::JUND,9.05890559934172,-3.05384966137663,alpha,0.434343434343434
"45",FOS::JUND,9.26957782258222,-3.14466093461783,alpha,0.444444444444444
"46",FOS::JUND,9.48025004582273,-3.20315350360827,alpha,0.454545454545455
"47",FOS::JUND,9.69092226906323,-3.22258787750425,alpha,0.464646464646465
"48",FOS::JUND,9.90159449230374,-3.19622456546208,alpha,0.474747474747475
