"",ps,smoothed.percent.open,celltype,gene,peak,avg.open
"1",0,28.2465236068015,alpha,RFX1,19:14116444-14118003,10.9490264931548
"2",0.0101010101010101,25.2277277136444,alpha,RFX1,19:14116444-14118003,10.9490264931548
"3",0.0202020202020202,22.602604903774,alpha,RFX1,19:14116444-14118003,10.9490264931548
"4",0.0303030303030303,20.3158171657682,alpha,RFX1,19:14116444-14118003,10.9490264931548
"5",0.0404040404040404,18.3204279034384,alpha,RFX1,19:14116444-14118003,10.9490264931548
"6",0.0505050505050505,16.5765698498185,alpha,RFX1,19:14116444-14118003,10.9490264931548
"7",0.0606060606060606,15.0503335448847,alpha,RFX1,19:14116444-14118003,10.9490264931548
"8",0.0707070707070707,13.7128388568544,alpha,RFX1,19:14116444-14118003,10.9490264931548
"9",0.0808080808080808,12.5394585897836,alpha,RFX1,19:14116444-14118003,10.9490264931548
"10",0.0909090909090909,11.5091686165376,alpha,RFX1,19:14116444-14118003,10.9490264931548
"11",0.101010101010101,10.604003417266,alpha,RFX1,19:14116444-14118003,10.9490264931548
"12",0.111111111111111,9.80878504922282,alpha,RFX1,19:14116444-14118003,10.9490264931548
"13",0.121212121212121,9.10925857158468,alpha,RFX1,19:14116444-14118003,10.9490264931548
"14",0.131313131313131,8.49258780116826,alpha,RFX1,19:14116444-14118003,10.9490264931548
"15",0.141414141414141,7.94792498661367,alpha,RFX1,19:14116444-14118003,10.9490264931548
"16",0.151515151515152,7.46607167694837,alpha,RFX1,19:14116444-14118003,10.9490264931548
"17",0.161616161616162,7.03920203009986,alpha,RFX1,19:14116444-14118003,10.9490264931548
"18",0.171717171717172,6.66063624322123,alpha,RFX1,19:14116444-14118003,10.9490264931548
"19",0.181818181818182,6.32465435783018,alpha,RFX1,19:14116444-14118003,10.9490264931548
"20",0.191919191919192,6.02634269927766,alpha,RFX1,19:14116444-14118003,10.9490264931548
"21",0.202020202020202,5.76146678169083,alpha,RFX1,19:14116444-14118003,10.9490264931548
"22",0.212121212121212,5.52636574497599,alpha,RFX1,19:14116444-14118003,10.9490264931548
"23",0.222222222222222,5.32756497657834,alpha,RFX1,19:14116444-14118003,10.9490264931548
"24",0.232323232323232,5.16931195034008,alpha,RFX1,19:14116444-14118003,10.9490264931548
"25",0.242424242424242,5.04571725285822,alpha,RFX1,19:14116444-14118003,10.9490264931548
"26",0.252525252525253,4.95176793468833,alpha,RFX1,19:14116444-14118003,10.9490264931548
"27",0.262626262626263,4.88311413589415,alpha,RFX1,19:14116444-14118003,10.9490264931548
"28",0.272727272727273,4.83589888009372,alpha,RFX1,19:14116444-14118003,10.9490264931548
"29",0.282828282828283,4.80662144199823,alpha,RFX1,19:14116444-14118003,10.9490264931548
"30",0.292929292929293,4.79202745418113,alpha,RFX1,19:14116444-14118003,10.9490264931548
"31",0.303030303030303,4.78902099692465,alpha,RFX1,19:14116444-14118003,10.9490264931548
"32",0.313131313131313,4.79459549345062,alpha,RFX1,19:14116444-14118003,10.9490264931548
"33",0.323232323232323,4.80578143348057,alpha,RFX1,19:14116444-14118003,10.9490264931548
"34",0.333333333333333,4.84323495497593,alpha,RFX1,19:14116444-14118003,10.9490264931548
"35",0.343434343434343,4.92618700734709,alpha,RFX1,19:14116444-14118003,10.9490264931548
"36",0.353535353535354,5.05007520589558,alpha,RFX1,19:14116444-14118003,10.9490264931548
"37",0.363636363636364,5.21074497684812,alpha,RFX1,19:14116444-14118003,10.9490264931548
"38",0.373737373737374,5.40410149683227,alpha,RFX1,19:14116444-14118003,10.9490264931548
"39",0.383838383838384,5.6258009591348,alpha,RFX1,19:14116444-14118003,10.9490264931548
"40",0.393939393939394,5.8709741984091,alpha,RFX1,19:14116444-14118003,10.9490264931548
"41",0.404040404040404,6.13398327389064,alpha,RFX1,19:14116444-14118003,10.9490264931548
"42",0.414141414141414,6.40821838360825,alpha,RFX1,19:14116444-14118003,10.9490264931548
"43",0.424242424242424,6.68594849258641,alpha,RFX1,19:14116444-14118003,10.9490264931548
"44",0.434343434343434,6.95824400555894,alpha,RFX1,19:14116444-14118003,10.9490264931548
"45",0.444444444444444,7.21499310217721,alpha,RFX1,19:14116444-14118003,10.9490264931548
"46",0.454545454545455,7.44503415278906,alpha,RFX1,19:14116444-14118003,10.9490264931548
"47",0.464646464646465,7.63642400447287,alpha,RFX1,19:14116444-14118003,10.9490264931548
"48",0.474747474747475,7.81316778828709,alpha,RFX1,19:14116444-14118003,10.9490264931548
"49",0.484848484848485,8.00652871205986,alpha,RFX1,19:14116444-14118003,10.9490264931548
"50",0.494949494949495,8.21501633326718,alpha,RFX1,19:14116444-14118003,10.9490264931548
"51",0.505050505050505,8.43700115473825,alpha,RFX1,19:14116444-14118003,10.9490264931548
"52",0.515151515151515,8.67068171241941,alpha,RFX1,19:14116444-14118003,10.9490264931548
"53",0.525252525252525,8.91405466703006,alpha,RFX1,19:14116444-14118003,10.9490264931548
"54",0.535353535353535,9.16488857088029,alpha,RFX1,19:14116444-14118003,10.9490264931548
"55",0.545454545454546,9.4207021705155,alpha,RFX1,19:14116444-14118003,10.9490264931548
"56",0.555555555555556,9.67874827273932,alpha,RFX1,19:14116444-14118003,10.9490264931548
"57",0.565656565656566,9.93600433699838,alpha,RFX1,19:14116444-14118003,10.9490264931548
"58",0.575757575757576,10.1891710500509,alpha,RFX1,19:14116444-14118003,10.9490264931548
"59",0.585858585858586,10.4346801766327,alpha,RFX1,19:14116444-14118003,10.9490264931548
"60",0.595959595959596,10.6808248969352,alpha,RFX1,19:14116444-14118003,10.9490264931548
"61",0.606060606060606,10.9374230880714,alpha,RFX1,19:14116444-14118003,10.9490264931548
