"",motif,ps,zval,celltype,ps.scaled
"1",Rfx1,0,2.4831006925717,alpha,0
"2",Rfx1,0.210672223240505,2.06977346960193,alpha,0.0101010101010101
"3",Rfx1,0.42134444648101,1.67497209023209,alpha,0.0202020202020202
"4",Rfx1,0.632016669721515,1.31722239806209,alpha,0.0303030303030303
"5",Rfx1,0.84268889296202,1.01505023669187,alpha,0.0404040404040404
"6",Rfx1,1.05336111620253,0.786981449721344,alpha,0.0505050505050505
"7",Rfx1,1.26403333944303,0.651541880750438,alpha,0.0606060606060606
"8",Rfx1,1.47470556268354,0.619085809498857,alpha,0.0707070707070707
"9",Rfx1,1.68537778592404,0.663369100892694,alpha,0.0808080808080808
"10",Rfx1,1.89605000916455,0.747905680748482,alpha,0.0909090909090909
"11",Rfx1,2.10672223240505,0.836208985452864,alpha,0.101010101010101
"12",Rfx1,2.31739445564556,0.891792451392482,alpha,0.111111111111111
"13",Rfx1,2.52806667888606,0.878169514953978,alpha,0.121212121212121
"14",Rfx1,2.73873890212657,0.766094427357039,alpha,0.131313131313131
"15",Rfx1,2.94941112536707,0.592121753962992,alpha,0.141414141414141
"16",Rfx1,3.16008334860758,0.427360197706006,alpha,0.151515151515152
"17",Rfx1,3.37075557184808,0.312482709045981,alpha,0.161616161616162
"18",Rfx1,3.58142779508859,0.241426881316806,alpha,0.171717171717172
"19",Rfx1,3.79210001832909,0.204218964780223,alpha,0.181818181818182
"20",Rfx1,4.0027722415696,0.190885209697971,alpha,0.191919191919192
"21",Rfx1,4.2134444648101,0.191451866331794,alpha,0.202020202020202
"22",Rfx1,4.42411668805061,0.19594518494343,alpha,0.212121212121212
"23",Rfx1,4.63478891129111,0.194949730028483,alpha,0.222222222222222
"24",Rfx1,4.84546113453162,0.186067963737114,alpha,0.232323232323232
"25",Rfx1,5.05613335777212,0.171693776236754,alpha,0.242424242424242
"26",Rfx1,5.26680558101263,0.154313646813335,alpha,0.252525252525253
"27",Rfx1,5.47747780425313,0.136414054752784,alpha,0.262626262626263
"28",Rfx1,5.68815002749364,0.120481479341032,alpha,0.272727272727273
"29",Rfx1,5.89882225073414,0.108989141111432,alpha,0.282828282828283
"30",Rfx1,6.10949447397465,0.103581349659605,alpha,0.292929292929293
"31",Rfx1,6.32016669721515,0.104598029008194,alpha,0.303030303030303
"32",Rfx1,6.53083892045566,0.112264578663405,alpha,0.313131313131313
"33",Rfx1,6.74151114369616,0.126806398131446,alpha,0.323232323232323
"34",Rfx1,6.95218336693667,0.148448886918521,alpha,0.333333333333333
"35",Rfx1,7.16285559017717,0.177322159282872,alpha,0.343434343434343
"36",Rfx1,7.37352781341768,0.212635628585962,alpha,0.353535353535354
"37",Rfx1,7.58420003665818,0.253082913275351,alpha,0.363636363636364
"38",Rfx1,7.79487225989869,0.2973519524991,alpha,0.373737373737374
"39",Rfx1,8.00554448313919,0.34413068540527,alpha,0.383838383838384
"40",Rfx1,8.2162167063797,0.392107051141925,alpha,0.393939393939394
"41",Rfx1,8.4268889296202,0.439968988857124,alpha,0.404040404040404
"42",Rfx1,8.63756115286071,0.486404437698933,alpha,0.414141414141414
"43",Rfx1,8.84823337610121,0.53010133681541,alpha,0.424242424242424
"44",Rfx1,9.05890559934172,0.569747625354618,alpha,0.434343434343434
"45",Rfx1,9.26957782258222,0.60403124246462,alpha,0.444444444444444
"46",Rfx1,9.48025004582273,0.631640127293477,alpha,0.454545454545455
"47",Rfx1,9.69092226906323,0.651262218989252,alpha,0.464646464646465
"48",Rfx1,9.90159449230374,0.661585456700004,alpha,0.474747474747475
"49",Rfx1,10.1122667155442,0.661297779573798,alpha,0.484848484848485
"50",Rfx1,10.3229389387847,0.649154455510805,alpha,0.494949494949495
"51",Rfx1,10.5336111620253,0.625040853305796,alpha,0.505050505050505
"52",Rfx1,10.7442833852658,0.589779636215239,alpha,0.515151515151515
"53",Rfx1,10.9549556085063,0.544221811466771,alpha,0.525252525252525
"54",Rfx1,11.1656278317468,0.489218386288028,alpha,0.535353535353535
"55",Rfx1,11.3763000549873,0.425620367906647,alpha,0.545454545454545
"56",Rfx1,11.5869722782278,0.354278763550264,alpha,0.555555555555556
"57",Rfx1,11.7976445014683,0.276044580446517,alpha,0.565656565656566
"58",Rfx1,12.0083167247088,0.191768825823041,alpha,0.575757575757576
"59",Rfx1,12.2189889479493,0.102302506907473,alpha,0.585858585858586
"60",Rfx1,12.4296611711898,0.0084966309274504,alpha,0.595959595959596
"61",Rfx1,12.6403333944303,-0.0887977948893918,alpha,0.606060606060606
"62",Rfx1,12.8510056176708,-0.188729763315415,alpha,0.616161616161616
"63",Rfx1,13.0616778409113,-0.290448267122986,alpha,0.626262626262626
"64",Rfx1,13.2723500641518,-0.393102299084465,alpha,0.636363636363636
