UMAP1,UMAP2,zval,cluster
-10.3410425,-0.85877377,0.464303667287339,alpha_1
-7.298544,-1.4847922,1.22317651251754,alpha_1
-6.9461055,0.595834,-0.0937968799412284,alpha_1
-9.666243,1.744997,-0.340788817754779,alpha_1
-10.371552,1.5657253,-0.549487705293139,alpha_1
7.4332504,-2.2515025,-1.2869482863931,beta_1
-5.5301976,1.9273292,-0.784966348690937,alpha_2
6.375552,-3.1026077,0.212147687280945,beta_1
-4.3957467,3.141259,2.7950670035188,alpha_2
9.012188,-1.0216713,-0.727398297134765,beta_1
-9.593353,1.8210763,0.254387153868854,alpha_1
7.5745087,-3.8071704,0.847909810315853,beta_1
-6.032505,1.6753258,1.09799769144888,alpha_2
-0.043634817,1.3254689,0.0582398829117678,delta_2
-5.3139844,1.8414928,-0.566806394381042,alpha_2
-7.6707096,-1.3824468,-0.147885010043771,alpha_1
8.712,-1.4385668,0.234167736919368,beta_1
7.334743,-4.252082,-0.491152880541308,beta_1
7.9375176,-1.8407152,0.167259170973096,beta_1
-2.4882863,3.5874307,-0.345164068631835,alpha_2
-9.371331,-1.6929306,-0.88023816660648,alpha_1
8.563792,-1.1817094,0.59566806742203,beta_1
9.675642,-1.3041422,-0.287604479277182,beta_1
8.52561,-4.056625,0.0877401145495222,beta_1
-4.895281,1.3976265,0.877160331540572,alpha_2
7.671673,-3.211888,-1.87053606586676,beta_1
8.712908,-2.7303624,-0.916936223157377,beta_1
-10.191144,-0.23801808,0.504649025557999,alpha_1
9.340434,-1.0380365,-0.832323187849531,beta_1
8.729992,-3.8902102,0.864119942152616,beta_1
-3.6139793,3.430024,0.805554038910646,alpha_2
-7.646781,-0.1816413,1.02963035491767,alpha_1
-7.116072,-1.6308734,0.629087820726137,alpha_1
-0.6769928,-0.24898998,0.169359357331257,delta_1
-4.1423817,3.301466,-0.910302076848997,alpha_2
8.898049,-0.8946693,0.933068152198107,beta_1
-9.103379,-1.5450203,-0.212625983502278,alpha_1
9.267252,-2.8338041,0.0502533736715793,beta_1
5.7687078,0.9892482,1.49710426846262,beta_2
-10.300314,1.6628476,-1.52633984915053,alpha_1
0.02424571,1.0492387,0.644313411803906,delta_2
9.23605,-2.8542454,1.76685967473186,beta_1
-9.707262,1.2327415,0.28378232092751,alpha_1
-8.55713,-1.9539051,-1.40456048170058,alpha_1
7.318273,-3.415284,1.57031788093462,beta_1
8.960629,-3.7633548,-1.18805809644745,beta_1
7.3019686,-2.0603542,1.06747117769821,beta_1
-7.546826,-0.71356684,-1.01150870883829,alpha_1
6.5926123,-2.7327929,1.40894792644974,beta_1
7.020975,-3.9396167,2.42009059929934,beta_1
9.451615,-2.8128526,0.655054740731932,beta_1
-9.753069,1.2841417,-1.40598437475483,alpha_1
-7.859094,-0.64599735,-0.579145235407088,alpha_1
-0.30444416,-0.28166062,-1.10427642885886,delta_1
5.6895814,0.028801363,-0.534586582229403,beta_2
6.274025,-1.0776864,-0.403381066949493,beta_2
-8.044734,-0.033220626,2.24133493043837,alpha_1
-9.6516075,-1.7979134,-0.0340694209036498,alpha_1
6.0413656,-2.838148,0.547813885636627,beta_1
-0.6423212,2.4888513,0.600002773286681,delta_2
8.544123,-1.448854,-1.42225248862308,beta_1
2.9229991,2.1897209,-0.783227077400359,beta_2
6.3776126,-4.112003,-0.836033564203202,beta_1
-4.317294,3.1271574,0.438370710383131,alpha_2
0.36023012,-0.8542309,0.800395385693844,delta_1
6.4151692,-1.6846968,1.48876323285661,beta_2
6.4463515,1.9431329,1.23199212188675,beta_2
4.2951517,2.363829,0.736127223113459,beta_2
-7.8443027,-0.43381545,-1.14505814882542,alpha_1
-9.630224,0.84154516,0.165507533978533,alpha_1
9.101496,-2.7835484,-0.271928168049828,beta_1
7.511976,-3.9552097,-0.710628291941692,beta_1
-8.264368,-2.0765898,0.170985390475193,alpha_1
7.7566595,-4.1441374,-1.59359477735192,beta_1
9.280139,-0.6451091,-0.434292377954708,beta_1
-3.3200557,4.6982794,0.800396795124266,alpha_2
-3.1494293,4.5993857,-0.442128265068728,alpha_2
7.3907743,-3.5003543,0.178538131251756,beta_1
-10.357726,-1.3690745,2.21298878244247,alpha_1
-3.4372253,3.6480033,1.59177373308557,alpha_2
9.180004,-0.47596562,0.286712457665762,beta_1
-3.396379,4.6619673,1.00755525742003,alpha_2
7.5089335,-3.5997841,0.602303891624852,beta_1
-5.0944047,2.0352316,-1.25207555901519,alpha_2
6.308975,-3.7460783,-1.63154979548352,beta_1
-10.007995,-1.51942,0.946553890589194,alpha_1
-9.3766775,-2.369424,0.462723258688843,alpha_1
1.0194141,3.5174973,-1.403061981238,beta_2
-7.1392746,0.8926823,1.00241510498669,alpha_1
-8.52401,-2.4021206,-0.901249714144312,alpha_1
9.29785,-2.9890387,-0.841907428224697,beta_1
-2.4818091,3.0880654,-0.788010823957673,alpha_2
-0.05742649,0.7815518,1.12471917166633,delta_2
5.9265614,-1.1403046,0.651029955449421,beta_2
-10.614918,-0.48720437,0.641835082804169,alpha_1
-8.205127,-2.0713065,-0.645934865978579,alpha_1
-10.873109,0.59279937,-0.38075828632781,alpha_1
-8.225884,-0.7383254,-0.148189563118253,alpha_1
-7.336874,-0.22601512,-1.00712648211759,alpha_1
6.8062835,-2.9192433,-1.08303765356762,beta_1
5.5730224,0.3931046,-0.922335216259168,beta_2
-3.6613395,3.9847472,0.586656717254983,alpha_2
4.4016676,2.2521577,-0.0861440493352943,beta_2
-9.146223,1.2760397,-0.494398340326824,alpha_1
-8.163808,-2.1049998,1.49288593927733,alpha_1
5.022987,0.114109136,0.881861527477984,beta_2
3.0471737,2.188912,-0.252939826306023,beta_2
-7.304824,0.93943983,-1.08890899589318,alpha_1
6.802472,-4.147774,-0.0899951114190345,beta_1
-0.2161605,1.9877115,-0.229907323593143,delta_2
4.390519,1.7884153,-0.828355040079469,beta_2
4.140546,3.0620847,1.95865148651773,beta_2
7.373234,-3.1459377,0.193952485759231,beta_1
7.348464,-4.4422255,-0.268372452271857,beta_1
4.5034184,2.428523,1.22616256866492,beta_2
-10.331384,0.51573545,-1.07032774555686,alpha_1
5.9831614,2.6928327,-0.0238360015289929,beta_2
7.2814064,-4.428089,1.00998213068458,beta_1
8.068532,-1.0382097,-0.913040593156465,beta_1
5.2162075,1.9545051,-0.754867335605501,beta_2
8.720618,-3.7381399,-0.373289231099807,beta_1
-9.519,1.3357452,-0.340377187211165,alpha_1
-8.237228,-1.785838,-0.493361572241509,alpha_1
7.9261193,-4.0264945,-0.774136365567464,beta_1
-7.114434,1.0136708,-0.0788835365682047,alpha_1
-8.663087,-2.059006,0.0944669375662368,alpha_1
5.101198,-0.1977986,-1.17961938212781,beta_2
7.704794,-4.1225476,1.5460648891268,beta_1
-7.1846333,-0.23845185,-0.266334756494304,alpha_1
7.5507784,-0.70426756,-0.558914672701624,beta_2
6.012435,-3.3712175,-0.395702951741537,beta_1
-9.433323,-2.1293504,-0.590668354365118,alpha_1
6.7492394,-3.6977878,-2.02866911667166,beta_1
-3.5619113,3.1359603,0.870251047485166,alpha_2
-8.058988,-2.1932847,-1.28843281426965,alpha_1
-8.349038,-0.3808567,-0.288060892152411,alpha_1
7.6087837,-3.872928,-1.67627477025412,beta_1
7.75462,-1.4979968,-2.29784509913044,beta_1
6.641629,-1.2844063,-1.02951156050158,beta_2
-7.9709477,-2.1293502,-0.14588533056773,alpha_1
-4.0348153,3.3147051,-0.403219097470865,alpha_2
-9.508471,0.9012061,-0.339994698405602,alpha_1
-10.372022,-1.0760086,-0.589634015527422,alpha_1
-9.042878,0.20001596,-0.738795788846748,alpha_1
6.914643,-2.9024901,-0.482164544852038,beta_1
-9.9545145,0.9927573,1.57034486589441,alpha_1
5.8358502,-3.5504212,-0.563253794700819,beta_1
-8.539578,-2.3695915,-0.528088228718484,alpha_1
4.8112583,2.5523736,0.920386896600301,beta_2
-9.01187,-1.004549,0.895388246675335,alpha_1
-7.520162,-1.8878956,-0.693736371340997,alpha_1
6.6268125,-2.4462092,-1.0190494153509,beta_1
-9.375886,1.390116,-0.658078849250224,alpha_1
3.6295438,3.1722634,-0.23025041146301,beta_2
-7.921012,0.41563866,-0.77601705275674,alpha_1
-9.285163,-1.0286667,-0.941383112959455,alpha_1
-8.40592,0.86825055,-0.627314328918361,alpha_1
-8.168047,-0.74941,-1.14485210204807,alpha_1
-8.514221,-1.677165,-1.44919297200471,alpha_1
-7.2415223,-0.49057716,-0.189473841119537,alpha_1
-6.81374,0.031576447,-1.9388546096299,alpha_1
-0.31251606,-0.4737681,-0.353641166663601,delta_1
5.470216,1.8898101,0.492422287440355,beta_2
6.1352,-3.074676,0.467939376669316,beta_1
-0.13667919,-0.9277905,0.269012640228604,delta_1
-9.525447,-0.67008877,0.878588046367284,alpha_1
-6.847661,0.022859238,-1.84170499876115,alpha_1
-0.25655866,-0.48525247,-0.649837741367562,delta_1
-7.514285,1.3097795,-1.63587363571781,alpha_1
-10.166571,0.25286785,-0.71255848152539,alpha_1
6.899799,-2.4898882,-1.24941221598362,beta_1
6.885254,-1.970783,-0.732868975050668,beta_1
-5.429863,2.4980466,0.0740501608697301,alpha_2
-3.9018729,2.4986274,0.754124080624101,alpha_2
8.597889,-2.0156252,1.20030515109157,beta_1
8.651827,-3.6376548,1.00411102580066,beta_1
5.6593595,1.3735352,-0.270450182019856,beta_2
7.489981,-0.79968643,0.347437043418383,beta_2
7.9365354,-3.0457628,-1.51536961883972,beta_1
7.435894,-3.0232885,-1.61220072261342,beta_1
3.664657,2.9137905,-1.20367271967963,beta_2
7.9495125,-0.97659767,0.309880340440511,beta_1
-10.156094,-1.0469458,0.652309158123825,alpha_1
-3.560343,4.0240483,2.28777113224865,alpha_2
-7.4476247,1.3834404,-0.386521768209409,alpha_1
-10.020174,-1.7432194,-2.0521825472767,alpha_1
1.1828437,3.6468227,-0.255398027159652,beta_2
-7.345814,-1.510881,-1.63646790554189,alpha_1
4.109384,2.87239,0.715999880814708,beta_2
7.6890955,-0.25436795,-0.590542047719697,beta_2
7.6885133,-2.493086,1.13044429485185,beta_1
9.004509,-0.14525743,0.812417500569711,beta_1
7.002704,-1.2032723,0.491838646088266,beta_2
-9.031613,-2.7254708,0.22998996193487,alpha_1
-8.732606,-1.0569222,-1.0322885614165,alpha_1
3.503293,3.306831,0.693090009979037,beta_2
0.25497726,-0.94942206,-1.13157836043254,delta_1
4.6438613,3.1075995,0.150375280948176,beta_2
-3.2885716,4.500113,-0.11121246399479,alpha_2
-7.4809165,-1.2201833,-0.495242492017415,alpha_1
-11.031488,0.14881895,0.855966293118216,alpha_1
6.8775053,-1.1486279,0.0651891955869818,beta_2
-9.472835,-1.7750324,-1.56638951596859,alpha_1
4.692451,2.9917538,0.249830592712148,beta_2
-8.890053,0.33258924,-0.414680804441265,alpha_1
-7.3102007,-0.9086482,0.369967619129532,alpha_1
-6.9029493,-0.4061288,-1.10118511678049,alpha_1
-10.134002,-0.36824587,-1.12673187850885,alpha_1
5.7663226,-1.173203,-0.0363975793289858,beta_2
9.10608,-1.3675661,1.30301459434751,beta_1
-7.8857517,-1.2324787,1.358041240291,alpha_1
