UMAP1,UMAP2,zval,cluster
8.78737,-0.24178618,-1.04580687858435,beta_1
6.380873,-2.414176,-1.60244069008879,beta_1
-10.086238,-1.073406,-0.552567634677959,alpha_1
-10.3410425,-0.85877377,-2.21670185665539,alpha_1
-7.298544,-1.4847922,0.570664105177015,alpha_1
-6.9461055,0.595834,-0.409192813756563,alpha_1
-9.666243,1.744997,-1.71642573777044,alpha_1
-10.371552,1.5657253,-1.90389186203353,alpha_1
7.4332504,-2.2515025,-0.0813964983693128,beta_1
-5.5301976,1.9273292,-1.7997329410536,alpha_2
6.375552,-3.1026077,-2.22164549452182,beta_1
-4.3957467,3.141259,0.458593274015741,alpha_2
9.012188,-1.0216713,1.1214612746511,beta_1
-9.593353,1.8210763,-1.6696775702884,alpha_1
7.5745087,-3.8071704,0.249377994704699,beta_1
-6.032505,1.6753258,-0.720274158087039,alpha_2
-7.9429827,8.236828,0.433395565022228,ductal
-0.043634817,1.3254689,1.14706901292167,delta_2
-5.3139844,1.8414928,1.43292947725657,alpha_2
-7.6707096,-1.3824468,-1.96480653518111,alpha_1
8.712,-1.4385668,-1.91671056448645,beta_1
7.334743,-4.252082,0.508289831577792,beta_1
7.9375176,-1.8407152,1.95103457521688,beta_1
-2.4882863,3.5874307,-2.118370860369,alpha_2
-9.371331,-1.6929306,-2.0552308753498,alpha_1
8.563792,-1.1817094,0.297505678250677,beta_1
9.675642,-1.3041422,-1.10835278194018,beta_1
8.52561,-4.056625,0.145011992227205,beta_1
-4.895281,1.3976265,-1.06179888825426,alpha_2
7.671673,-3.211888,2.42833183449998,beta_1
8.712908,-2.7303624,2.69574745155693,beta_1
-10.191144,-0.23801808,-1.54831827200417,alpha_1
9.340434,-1.0380365,-1.32096964788821,beta_1
8.729992,-3.8902102,-0.113160298838856,beta_1
-3.6139793,3.430024,0.318174086108256,alpha_2
-7.646781,-0.1816413,0.353944382429896,alpha_1
-7.116072,-1.6308734,-0.604342567747936,alpha_1
-0.6769928,-0.24898998,-0.66303927815148,delta_1
-4.1423817,3.301466,-1.39422204323067,alpha_2
8.898049,-0.8946693,-1.23512884489563,beta_1
-9.103379,-1.5450203,-0.0322737587391503,alpha_1
9.267252,-2.8338041,1.60241416847825,beta_1
5.7687078,0.9892482,0.715085677612936,beta_2
-10.300314,1.6628476,-1.27807605895908,alpha_1
0.02424571,1.0492387,-0.244314042779323,delta_2
9.23605,-2.8542454,0.250207646706953,beta_1
-9.707262,1.2327415,0.184438568497273,alpha_1
-8.55713,-1.9539051,-0.786096285543337,alpha_1
7.318273,-3.415284,0.625109520324227,beta_1
8.960629,-3.7633548,1.28944640066543,beta_1
7.3019686,-2.0603542,2.89948856934114,beta_1
-7.546826,-0.71356684,-1.3064595085363,alpha_1
6.5926123,-2.7327929,-0.582743376681956,beta_1
7.020975,-3.9396167,-0.0742050888757709,beta_1
9.451615,-2.8128526,0.589320402075703,beta_1
-9.753069,1.2841417,0.399342056879714,alpha_1
-7.859094,-0.64599735,-0.388810980079454,alpha_1
-0.30444416,-0.28166062,-0.731245351406007,delta_1
5.6895814,0.028801363,0.138718434945681,beta_2
-2.3891537,10.229617,0.21632229539302,endothelial
6.274025,-1.0776864,-1.58065754501909,beta_2
-8.044734,-0.033220626,-1.60244480487968,alpha_1
-9.6516075,-1.7979134,-1.07543716782409,alpha_1
6.0413656,-2.838148,-0.954557792648136,beta_1
