"",beta,delta,alpha,gamma,acinar,ductal
beta,1,0.874737258786445,0.439128849043087,0.454644114129651,-0.518687014629065,-0.287170307533904
delta,0.874737258786445,1,0.255497072407542,0.4416062562765,-0.591757913808479,-0.222092014562252
alpha,0.439128849043087,0.255497072407542,1,0.818107757337887,0.209165805309135,0.174856085906515
gamma,0.454644114129651,0.4416062562765,0.818107757337887,1,0.134412513906764,0.17717647215922
acinar,-0.518687014629065,-0.591757913808479,0.209165805309135,0.134412513906764,1,0.607196118768106
ductal,-0.287170307533904,-0.222092014562252,0.174856085906515,0.17717647215922,0.607196118768106,1
