UMAP1,UMAP2,zval,cell_type_overall
-5.1023927,1.3868204,0.237715723643169,alpha
-9.805659,1.1269126,-0.891295598052262,alpha
-7.644358,-1.0879118,0.53581015667566,alpha
-7.523513,-0.2645195,0.544877141455609,alpha
-8.80484,-2.5318043,0.996567505053142,alpha
-9.545399,-0.6971933,0.884562760508649,alpha
-8.599813,-2.7038648,-0.475263253761988,alpha
-8.650335,-2.317859,-1.4076493200616,alpha
-9.628777,-1.9380584,-0.157721884268552,alpha
-9.283587,-1.0377162,0.0202041381896571,alpha
-8.491583,-1.7144617,1.03607851241382,alpha
-10.347256,0.6269315,-1.4605601694277,alpha
-7.7963347,-0.9682282,0.402655352963835,alpha
-9.521015,-1.3287379,0.475346816925331,alpha
-9.202023,1.5364757,-0.687123549260189,alpha
-7.84118,-1.1428636,-0.31327431753335,alpha
-7.2162747,-1.210757,0.677010680451142,alpha
-7.211089,-1.4684074,2.24515645548131,alpha
-8.308418,0.15762053,0.779619201980281,alpha
-4.922699,1.2882909,-0.983603019092783,alpha
-10.12213,-0.35120243,1.01986270598672,alpha
-4.6467414,2.4445472,-2.29539498686373,alpha
-7.791639,-2.411005,0.804744727555479,alpha
-5.1759005,1.4578193,-1.0068001414225,alpha
-2.5486915,3.4870582,-1.06657352584401,alpha
-4.61883,2.1656473,-0.750442824751517,alpha
-3.2659976,4.730314,1.33381973540994,alpha
-6.131173,2.0530593,0.679674282568835,alpha
-7.3422046,-1.7492353,1.56795513282787,alpha
-8.740127,-0.66424793,-0.469223031884937,alpha
-2.5520186,-1.8607448,1.62036325672127,gamma
-7.486817,-1.2761396,0.998452634495375,alpha
-7.3084264,-1.2080411,1.92097314563107,alpha
-4.000361,3.2102606,-1.30091665837634,alpha
-8.162218,0.7835102,0.543561994280151,alpha
-10.221644,-0.5087496,0.113956277308986,alpha
-8.912562,-2.618905,0.92995993326523,alpha
-7.398564,-1.8108959,-0.257399029537442,alpha
-8.91406,1.4358062,1.12622922622308,alpha
-9.688878,-2.2134156,0.204988561396103,alpha
-7.170091,-1.2445563,2.06860094157171,alpha
-10.108716,1.1026143,0.81266676630805,alpha
-9.709468,0.9717272,0.721180861408592,alpha
-4.360313,2.594776,-1.47483539291071,alpha
-9.675761,-1.1240194,-0.0205837828866636,alpha
-9.910626,0.3805665,-0.311604338928395,alpha
-8.728428,-0.4618044,-0.431973630958811,alpha
-7.375006,-2.047063,2.07750254239932,alpha
-7.973892,-1.4402355,1.60917804589559,alpha
-10.086238,-1.073406,-1.16604896211262,alpha
-10.3410425,-0.85877377,-0.114243027064056,alpha
