UMAP1,UMAP2,zval,cell_type_overall
2.1213605,3.5533817,0.414470356268649,beta
8.333635,-0.71902174,1.18410233293709,beta
7.030728,-3.5811422,-0.735921631025477,beta
7.4326005,-2.9926991,0.327507079039674,beta
8.100903,-3.3909883,2.0662336806591,beta
7.0127807,-2.9720278,0.0643310698594823,beta
3.8532014,2.77606,-0.548487256042667,beta
-0.2548735,2.0643983,0.683646410649332,delta
8.399753,-0.5532214,0.699462860521913,beta
0.18682633,1.3760691,0.848087391982026,delta
-0.19706067,1.3951954,-2.30106942588881,delta
-0.021403072,-1.11038,-1.96239592976389,delta
0.07814337,0.89461184,-2.25126218255243,delta
-0.03973574,-1.1024127,0.639971407817283,delta
8.02267,-0.1679783,0.830485765540738,beta
0.24900414,-1.0582565,-0.449536167629356,delta
5.937259,0.2738438,-0.627412678160921,beta
1.0423777,-1.2872143,-0.593897287421178,delta
8.751668,-1.5316006,-1.35189024557266,beta
-0.4197616,2.265155,-2.00471627906725,delta
1.12048,-1.3128867,-0.697013934354085,delta
8.633101,-1.329578,-0.983194064537222,beta
8.246129,0.50667375,1.19613813264969,beta
5.843484,-0.9293012,-0.57776179247472,beta
8.974941,-0.6775067,-2.10745717192485,beta
8.984592,-2.0593245,0.392953805987089,beta
5.0701046,2.8273194,-0.806258195137976,beta
6.7658725,-4.541393,0.236640542061115,beta
7.6415772,-3.814907,1.39845199500102,beta
4.0141487,2.3003762,-1.57339792106763,beta
6.7572856,-3.2950146,1.48779085800175,beta
6.9625173,0.9588478,-2.54851277205444,beta
5.827504,-1.4829612,-0.340042211120347,beta
-0.31335264,1.7168251,-2.37964244873243,delta
7.9615865,-0.55532444,-1.21937398503979,beta
4.892667,0.52741706,-0.913834816879252,beta
7.959288,-3.8222065,0.118107850082722,beta
8.003184,0.61445856,-0.354633137222467,beta
8.51219,-0.513163,-1.71453960860905,beta
7.138314,-1.7909038,-1.78034006593777,beta
6.6326227,-2.9013803,-1.04264333401699,beta
-0.38027367,2.107341,0.574503066422866,delta
8.316812,-2.570268,2.32841960127141,beta
5.6474648,-1.8235463,-1.03501499528337,beta
6.7757144,-3.0301914,3.78832281403573,beta
5.737269,-1.6020894,-1.59798604042985,beta
6.192882,-4.1206326,0.930829970531031,beta
8.593668,-3.938493,0.801707530976322,beta
7.8119473,-1.6510684,-1.48547149225939,beta
8.652991,-2.4337513,1.04695654726508,beta
7.818936,-3.0514486,1.17659464361935,beta
6.793833,-3.4811285,2.23440856498973,beta
4.31428,2.5704315,0.244202026448497,beta
8.87204,-0.8845667,-0.51582417814964,beta
6.7700753,-2.526638,-1.29016132720983,beta
4.8162007,2.9828446,-0.517509088012193,beta
6.745512,-2.1313827,0.768747350589394,beta
3.5102556,3.4518614,-0.861511672307146,beta
8.643421,-2.195398,-0.593292928020648,beta
5.675345,-3.5966568,-1.03361820471095,beta
5.933924,-3.3282835,-0.934828718925762,beta
4.272106,3.2554815,-1.26963162939321,beta
-0.98985416,1.9991322,-2.09797935227508,delta
7.5181546,1.2280372,0.104679123599937,beta
8.841546,-1.0863501,-0.954280046376973,beta
-0.94744253,1.9986551,-2.11666530748332,delta
4.782824,2.7192082,-0.135350425951254,beta
5.011549,0.059122786,-1.44327403891713,beta
6.1271152,-3.7984428,0.317253041761877,beta
8.78737,-0.24178618,-1.75127523752639,beta
6.380873,-2.414176,-0.259528948931894,beta
7.4332504,-2.2515025,-1.75216359727243,beta
6.375552,-3.1026077,2.30593798099779,beta
9.012188,-1.0216713,-0.975163725286033,beta
7.5745087,-3.8071704,-0.414106172136971,beta
-0.043634817,1.3254689,-0.994695992856767,delta
8.712,-1.4385668,0.158316355500292,beta
7.334743,-4.252082,-0.0505568504518997,beta
7.9375176,-1.8407152,-1.53113492757319,beta
8.563792,-1.1817094,-0.041509972883668,beta
9.675642,-1.3041422,-0.687341341066632,beta
8.52561,-4.056625,1.63761787433678,beta
7.671673,-3.211888,-0.757900981636739,beta
8.712908,-2.7303624,-0.397310510714812,beta
9.340434,-1.0380365,-0.766437656538248,beta
8.729992,-3.8902102,0.75157335882512,beta
